id,title,content
1,中国保监会打击奇葩保险产品,监管机构禁止一些被视为“夺人眼球”、“投机性”和“噱头性”的保险产品，此举旨在打击非传统产品。
2,治理雾霾长短策,聂日明：每到12月，爆表级雾霾成为常态。人们对雾霾依然愤怒，但开始习惯它的存在，接下来的问题是如何应对。
3,中国高校“智库热”的冷思考,李江：中国高校出现“智库热”，这是高校长期在市场化与行政化双重影响下畸形成长的产物，是大学重心的错位。
4,中国房地产市场回顾与展望,池光胜：今年上半年，热点城市大概率仍将维持高压态势，三四线城市可能出台专门的“因城因地”去库存政策。
5,香港“故宫分馆”争议凸显京港关系紧张,香港故宫文化博物馆项目遭到香港民主活动人士反对，他们抨击香港政府未能咨询公众意见而推行一项破坏香港自治的政治计划。
6,中国的人民与社会,邹至庄：中国经济奇迹的两个主要因素是中国实行市场经济和中国人民的高质量，但中国社会不健全。如何改善？
7,中国确定每年煤炭去产能3亿吨,国家发改委公布，到2020年，每年将淘汰8亿吨“落后”和效率低下的煤炭产能，同时增加5亿吨“先进”产能。
8,12月份中国制造业增长超预期,12月份财新/Markit中国制造业PMI指数从11月的50.9升至51.9，超出此前预期，这是该指数连续六个月处于增长区间。
9,456亿美元：去年中国对美投资创纪录,2016年中国对美直接投资飙升，但特朗普即将入主白宫意味着，今年中国企业对美投资不太可能达到去年水平。
10,中国收紧个人购汇申报程序,外管局宣布将细化个人购汇申报要求，加强审核。在年度购汇额度重新计算之际，中国居民对人民币信心将受考验。
11,2016回顾：悄然改变的中国环境叙事,环境网站“中外对话”马天杰：尽管看起来中国的环境故事每年都在重复，但是一些固有叙事可能正在被改写。
12,逆全球化风险下的短期及长期政策基调,梁国勇：“稳字当先”将成为2017年中国经济政策的主导思想，应对外部压力、防控金融风险将是重中之重。
13,回首2016：雾霾里的中国,王军：2016年中国社会紧张、不安和焦虑情绪集聚、蔓延、加剧，公民基本权利仍无法保障，社会正义伸张艰难。
14,2017年：中美关系前路莫测,傅成：新的一年，中美关系将进入多事之秋。中国领导人可能要面对一位不可预测、心怀不满且不可信赖的对手。
15,专访黑石集团董事长苏世民,吴可佳：苏世民捐赠4.5亿美金，在清华成立“苏世民学者项目”，旨在为世界培养了解中国的领袖。
